name|owner|language|stargazerCount|createdAt|amountYear|isOld
shadowsocks-windows|shadowsocks|C#|58636|2013-01-14T07:54:16Z|-12|true
docusaurus|facebook|TypeScript|58584|2017-06-20T16:13:53Z|-7|true
open-interpreter|OpenInterpreter|Python|58527|2023-07-14T07:10:44Z|-1|false
localsend|localsend|Dart|58362|2022-12-16T00:46:07Z|-2|false
act|nektos|Go|58163|2019-01-02T19:53:43Z|-6|true
localstack|localstack|Python|57881|2016-10-25T23:48:03Z|-8|true
alacritty|alacritty|Rust|57847|2016-02-18T05:02:30Z|-9|true
llama|meta-llama|Python|57780|2023-02-14T09:29:12Z|-2|false
fuel-core|FuelLabs|Rust|57773|2020-08-27T21:12:14Z|-4|false
prometheus|prometheus|Go|57478|2012-11-24T11:14:12Z|-12|true
spring-framework|spring-projects|Java|57457|2010-12-08T04:04:45Z|-14|true
lazygit|jesseduffield|Go|57316|2018-05-19T00:53:06Z|-6|true
lobe-chat|lobehub|TypeScript|56848|2023-05-21T07:19:12Z|-1|false
html5-boilerplate|h5bp|JavaScript|56807|2010-01-24T18:03:24Z|-15|true
rustlings|rust-lang|Rust|56690|2015-09-15T02:25:18Z|-9|true
nerd-fonts|ryanoasis|CSS|56615|2014-12-05T04:31:17Z|-10|true
rails|rails|Ruby|56536|2008-04-11T02:19:47Z|-16|true
nuxt|nuxt|TypeScript|56311|2016-10-26T11:18:47Z|-8|true
gatsby|gatsbyjs|JavaScript|55761|2015-05-21T22:43:05Z|-9|true
DeepLearning-500-questions|scutan90|JavaScript|55486|2018-06-27T06:36:45Z|-6|true
private-gpt|zylon-ai|Python|55345|2023-05-02T09:15:31Z|-1|false
you-get|soimort|Python|55200|2012-08-20T15:53:36Z|-12|true
leetcode|azl397985856|JavaScript|55101|2018-03-30T09:13:51Z|-6|true
ghidra|NationalSecurityAgency|Java|55051|2019-03-01T03:27:48Z|-6|true
zed|zed-industries|Rust|55014|2021-02-20T03:01:06Z|-4|false
awesome-flutter|Solido|Dart|54958|2017-05-07T11:45:27Z|-7|true
scrapy|scrapy|Python|54411|2010-02-22T02:01:14Z|-15|true
awesome-chatgpt-prompts-zh|PlexPt|não encontrado|54396|2022-12-12T01:55:03Z|-2|false
leetcode-master|youngyangyang04|Shell|54357|2019-12-14T12:05:42Z|-5|true
face_recognition|ageitgey|Python|54252|2017-03-03T21:52:39Z|-8|true
element|ElemeFE|Vue|54192|2016-09-03T06:19:26Z|-8|true
react-router|remix-run|TypeScript|54192|2014-05-16T22:22:51Z|-10|true
tldr|tldr-pages|Markdown|53908|2013-12-08T07:34:43Z|-11|true
Prompt-Engineering-Guide|dair-ai|MDX|53811|2022-12-16T16:04:50Z|-2|false
git|git|C|53718|2008-07-23T14:21:26Z|-16|true
ChatGPT|lencx|Rust|53648|2022-12-07T09:43:02Z|-2|false
Real-Time-Voice-Cloning|CorentinJ|Python|53631|2019-05-26T08:56:15Z|-5|true
traefik|traefik|Go|53487|2015-09-13T19:04:02Z|-9|true
faceswap|deepfakes|Python|53381|2017-12-19T09:44:13Z|-7|true
gpt-engineer|AntonOsika|Python|53216|2023-04-29T12:52:15Z|-1|false
Stirling-PDF|Stirling-Tools|Java|53043|2023-01-27T18:22:42Z|-2|false
weekly|ruanyf|não encontrado|52869|2018-10-13T12:36:07Z|-6|true
drawio-desktop|jgraph|JavaScript|52826|2017-05-25T20:58:42Z|-7|true
normalize.css|necolas|CSS|52813|2011-05-04T10:20:25Z|-13|true
openpilot|commaai|Python|52778|2016-11-24T01:33:30Z|-8|true
yolov5|ultralytics|Python|52660|2020-05-18T03:45:11Z|-4|false
requests|psf|Python|52562|2011-02-13T18:38:17Z|-14|true
nocodb|nocodb|TypeScript|52512|2017-10-29T18:51:48Z|-7|true
mkcert|FiloSottile|Go|52492|2018-06-25T05:33:03Z|-6|true
hackingtool|Z4nzu|Python|51771|2020-04-11T09:21:31Z|-4|false
awesome-android-ui|wasabeef|não encontrado|51692|2014-12-24T01:45:03Z|-10|true
ionic-framework|ionic-team|TypeScript|51493|2013-08-20T23:06:02Z|-11|true
bat|sharkdp|Rust|51394|2018-04-21T10:52:23Z|-6|true
project-layout|golang-standards|Makefile|51237|2017-09-09T16:33:26Z|-7|true
Magisk|topjohnwu|C++|51223|2016-09-08T12:42:53Z|-8|true
