file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\constraints\ExtractVersionConstraints.java,org.springframework.boot.build.constraints.ExtractVersionConstraints$VersionProperty,innerclass,1,1,0,1,5,1,0,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,21,4,0,1,0,0,0,1,3,0,3,1,0,0,0,13,25,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\RepositoryTransformersExtension.java,org.springframework.boot.build.RepositoryTransformersExtension,class,6,9,3,6,18,1,0,32,58,0.8333333,0.0,0.0,12,1,3,8,0,1,4,0,0,0,3,2,0,3,0,0,3,0,2,82,14,0,1,0,1,21,1,14,1,20,2,0,0,4,64,1,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\autoconfigure\DocumentAutoConfigurationClasses.java,org.springframework.boot.build.autoconfigure.DocumentAutoConfigurationClasses$AutoConfiguration,innerclass,1,1,0,1,1,1,0,7,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,13,1,0,0,0,0,0,1,4,1,5,1,0,0,1,10,26,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\architecture\bfpp\nonstatic\NonStaticBeanFactoryPostProcessorConfiguration.java,org.springframework.boot.build.architecture.bfpp.nonstatic.NonStaticBeanFactoryPostProcessorConfiguration,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,1,0,0,1,9,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\classpath\CheckClasspathForConflicts.java,org.springframework.boot.build.classpath.CheckClasspathForConflicts$ClasspathContents,innerclass,1,1,0,1,9,1,0,15,1,0.5,-1.0,-1.0,3,0,0,3,0,0,0,0,0,0,2,1,0,2,0,0,2,0,2,26,5,2,0,0,0,8,1,2,0,7,2,0,0,4,30,26,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\mavenplugin\PrepareMavenBinaries.java,org.springframework.boot.build.mavenplugin.PrepareMavenBinaries,class,14,16,2,14,4,2,0,15,4,0.5,0.0,0.0,4,0,4,0,0,0,4,2,0,0,2,0,0,2,0,0,2,0,0,19,0,0,0,0,0,2,0,4,1,7,1,0,0,3,35,1025,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\WarConventions.java,org.springframework.boot.build.WarConventions,class,7,8,1,7,2,1,0,15,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,5,0,3,0,5,2,0,0,3,42,1,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java,org.springframework.boot.build.bom.BomExtension,class,26,36,10,26,25,1,0,69,86,0.8125,0.0,0.0,16,0,7,7,0,2,9,0,0,0,5,0,0,5,0,0,5,0,1,414,6,3,5,1,5,27,0,23,6,32,3,0,7,9,100,1,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\version\MultipleComponentsDependencyVersion.java,org.springframework.boot.build.bom.bomr.version.MultipleComponentsDependencyVersion,class,5,9,4,5,7,3,0,3,1,0.33333334,0.0,0.0,3,1,1,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,21,4,0,3,0,0,3,5,3,1,3,2,0,0,0,36,16,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\ConventionsPluginTests.java,org.springframework.boot.build.ConventionsPluginTests,class,5,6,1,5,10,1,0,30,7,0.45,0.0,0.0,10,0,0,4,0,6,6,0,0,0,2,0,0,2,0,0,0,0,3,149,2,0,0,10,0,116,0,23,4,23,1,0,0,0,76,0,0
